z,A,R_tilde,K_tilde,det_g
559.5596,0.9813127912,330614366921.9954,8.956725315520849e+22,-0.0
560.5606,0.9812979094,332310108210.3977,9.050402273467653e+22,-0.0
561.5616,0.9812830503,334011463744.8536,9.14489285369569e+22,-0.0
562.5626,0.981268214,335718441982.6558,9.240202702012141e+22,-0.0
563.5636,0.9812534003,337431051356.0845,9.336337493731945e+22,-0.0
564.5646,0.9812386091,339149300331.1965,9.433302933907104e+22,-0.0
565.5656,0.9812238404,340873197329.2313,9.53110475725982e+22,-0.0
566.5666,0.9812090942,342602750779.6776,9.629748728416593e+22,-0.0
567.5676,0.9811943702,344337969150.6753,9.729240642067635e+22,-0.0
568.5686,0.9811796686,346078860872.3018,9.829586322913124e+22,-0.0
569.5696,0.9811649892,347825434369.8049,9.930791625843947e+22,-0.0
570.5706,0.9811503319,349577698070.0843,1.0032862436063422e+23,-0.0
571.5716,0.9811356967,351335660417.4091,1.013580466923043e+23,-0.0
572.5726,0.9811210835,353099329839.51086,1.0239624271488377e+23,-0.0
573.5736,0.9811064923,354868714750.5575,1.034432721958695e+23,-0.0
574.5746,0.981091923,356643823580.68195,1.044991952105261e+23,-0.0
575.5756,0.9810773755,358424664755.5785,1.055640721425257e+23,-0.0
576.5766,0.9810628497,360211246703.7422,1.0663796368520439e+23,-0.0
577.5776,0.9810483456,362003577842.4124,1.0772093084232472e+23,-0.0
578.5786,0.9810338632,363801666577.4445,1.0881303492919707e+23,-0.0
579.5796,0.9810194023,365605521330.1357,1.0991433757438328e+23,-0.0
580.5806,0.9810049629,367415150515.99457,1.1102490072028525e+23,-0.0
581.5816,0.9809905449,369230562551.87823,1.121447866244494e+23,-0.0
582.5826,0.9809761483,371051765850.676,1.132740578605056e+23,-0.0
583.5836,0.9809617731,372878768795.8486,1.1441277731872424e+23,-0.0
584.5846,0.980947419,374711579816.99835,1.1556100820890934e+23,-0.0
585.5856,0.9809330862,376550207325.16516,1.1671881405988058e+23,-0.0
586.5866,0.9809187744,378394659702.5726,1.178862587204946e+23,-0.0
587.5876,0.9809044838,380244945371.9304,1.1906340636230635e+23,-0.0
588.5886,0.9808902141,382101072718.8803,1.2025032147885135e+23,-0.0
589.5896,0.9808759653,383963050130.9764,1.214470688877669e+23,-0.0
590.5906,0.9808617375,385830886025.0072,1.2265371373249217e+23,-0.0
591.5916,0.9808475304,387704588799.01154,1.2387032148226004e+23,-0.0
592.5926,0.9808333441,389584166833.335,1.2509695793326633e+23,-0.0
593.5936,0.9808191785,391469628518.59406,1.2633368921049173e+23,-0.0
594.5946,0.9808050336,393360982238.8103,1.275805817683836e+23,-0.0
595.5956,0.9807909092,395258236389.7826,1.2883770239249716e+23,-0.0
596.5966,0.9807768053,397161399369.09814,1.3010511820030537e+23,-0.0
597.5976,0.9807627218,399070479540.22394,1.313828966415287e+23,-0.0
598.5986,0.9807486588,400985485300.54193,1.3267110550095411e+23,-0.0
599.5996,0.9807346161,402906425026.4429,1.3396981289814329e+23,-0.0
600.6006,0.9807205937,404833307075.41974,1.3527908728874864e+23,-0.0
601.6016,0.9807065915,406766139853.4899,1.3659899746727054e+23,-0.0
602.6026,0.9806926095,408704931746.4604,1.3792961256645785e+23,-0.0
603.6036,0.9806786475,410649691113.0835,1.3927100205835828e+23,-0.0
604.6046,0.9806647057,412600426301.0722,1.4062323575585327e+23,-0.0
605.6056,0.9806507838,414557145691.30975,1.4198638381498504e+23,-0.0
606.6066,0.9806368818,416519857689.8921,1.4336051673580636e+23,-0.0
607.6076,0.9806229997,418488570646.6472,1.4474570536151334e+23,-0.0
608.6086,0.9806091375,420463292905.9777,1.4614202088097424e+23,-0.0
609.6096,0.980595295,422444032845.3834,1.4754953483083472e+23,-0.0
610.6106,0.9805814722,424430798833.448,1.4896831909558715e+23,-0.0
611.6116,0.9805676691,426423599217.0042,1.5039844590844353e+23,-0.0
612.6126,0.9805538855,428422442378.14343,1.5183998785400995e+23,-0.0
613.6136,0.9805401215,430427336670.0921,1.5329301786768848e+23,-0.0
614.6146,0.980526377,432438290427.453,1.5475760923728437e+23,-0.0
615.6156,0.9805126519,434455312019.7973,1.5623383560547763e+23,-0.0
616.6166,0.9804989462,436478409804.5107,1.577217709698046e+23,-0.0
617.6176,0.9804852599,438507592135.181,1.5922148968405344e+23,-0.0
618.6186,0.9804715927,440542867335.02563,1.607330664587546e+23,-0.0
619.6196,0.9804579448,442584243775.9484,1.622565763645479e+23,-0.0
620.6206,0.9804443161,444631729831.59686,1.637920948319473e+23,-0.0
621.6216,0.9804307065,446685333803.47614,1.6533969765070545e+23,-0.0
622.6226,0.9804171159,448745064031.8878,1.668994609740092e+23,-0.0
623.6236,0.9804035443,450810928889.4745,1.6847146131941592e+23,-0.0
624.6246,0.9803899917,452882936716.8525,1.7005577556832753e+23,-0.0
625.6256,0.980376458,454961095831.80927,1.716524809674908e+23,-0.0
626.6266,0.9803629431,457045414576.6064,1.7326165513150447e+23,-0.0
627.6276,0.980349447,459135901298.5988,1.748833760434363e+23,-0.0
628.6286,0.9803359696,461232564328.9517,1.7651772205549965e+23,-0.0
629.6296,0.980322511,463335412005.60443,1.781647718908881e+23,-0.0
630.6306,0.9803090709,465444452646.01483,1.798246046442275e+23,-0.0
631.6316,0.9802956495,467559694588.5165,1.814972997840063e+23,-0.0
632.6326,0.9802822466,469681146176.0592,1.831829371532372e+23,-0.0
633.6336,0.9802688621,471808815711.3016,1.8488159696950998e+23,-0.0
634.6346,0.9802554962,473942711532.49036,1.8659335982836163e+23,-0.0
635.6356,0.9802421485,476082841970.508,1.8831830670319877e+23,-0.0
636.6366,0.9802288192,478229215323.47626,1.9005651894591638e+23,-0.0
637.6376,0.9802155082,480381839947.2856,1.9180807829068484e+23,-0.0
638.6386,0.9802022155,482540724159.4757,1.935730668523211e+23,-0.0
639.6396,0.9801889409,484705876236.2435,1.953515671276446e+23,-0.0
640.6406,0.9801756844,486877304541.39514,1.9714366200033223e+23,-0.0
641.6416,0.9801624461,489055017380.0074,1.989494347378158e+23,-0.0
642.6426,0.9801492257,491239023035.9178,2.0076896899387634e+23,-0.0
643.6436,0.9801360234,493429329871.4839,2.0260234881258672e+23,-0.0
644.6446,0.9801228389,495625946179.1556,2.0444965862524174e+23,-0.0
645.6456,0.9801096724,497828880250.60675,2.0631098325379398e+23,-0.0
646.6466,0.9800965237,500038140404.61145,2.0818640791276584e+23,-0.0
647.6476,0.9800833928,502253734955.0065,2.100760182096642e+23,-0.0
648.6486,0.9800702797,504475672220.3172,2.119799001464417e+23,-0.0
649.6496,0.9800571842,506703960476.41534,2.1389814011941562e+23,-0.0
650.6507,0.9800441064,508938608047.9413,2.1583082492330332e+23,-0.0
651.6517,0.9800310462,511179623240.3994,2.1777804175029094e+23,-0.0
652.6527,0.9800180036,513427014316.89716,2.197398781908176e+23,-0.0
653.6537,0.9800049784,515680789622.5234,2.217164222384934e+23,-0.0
654.6547,0.9799919707,517940957441.2487,2.23707762286939e+23,-0.0
655.6557,0.9799789805,520207526057.3478,2.2571398713319567e+23,-0.0
656.6567,0.9799660076,522480503802.6288,2.2773518598016862e+23,-0.0
657.6577,0.979953052,524759898915.3089,2.2977144843374206e+23,-0.0
658.6587,0.9799401137,527045719701.7022,2.318228645091214e+23,-0.0
659.6597,0.9799271926,529337974495.2103,2.3388952463058176e+23,-0.0
660.6607,0.9799142888,531636671555.9916,2.359715196298783e+23,-0.0
661.6617,0.979901402,533941819175.7673,2.3806894075075058e+23,-0.0
662.6627,0.9798885324,536253425643.2177,2.4018187964908158e+23,-0.0
663.6637,0.9798756798,538571499243.45135,2.423104283942555e+23,-0.0
664.6647,0.9798628442,540896048253.115,2.4445467947023177e+23,-0.0
665.6657,0.9798500255,543227080961.62885,2.4661472577760907e+23,-0.0
666.6667,0.9798372238,545564605667.2035,2.487906606346775e+23,-0.0
667.6677,0.979824439,547908630636.53265,2.5098257777755723e+23,-0.0
668.6687,0.9798116709,550259164146.2834,2.5319057136279627e+23,-0.0
669.6697,0.9797989197,552616214467.7625,2.554147359681883e+23,-0.0
670.6707,0.9797861852,554979789907.7172,2.576551665954204e+23,-0.0
671.6717,0.9797734674,557349898730.5991,2.5991195866877272e+23,-0.0
672.6727,0.9797607662,559726549184.0264,2.6218520803749627e+23,-0.0
673.6737,0.9797480817,562109749576.4109,2.644750109794345e+23,-0.0
674.6747,0.9797354137,564499508160.4268,2.6678146419861808e+23,-0.0
675.6757,0.9797227622,566895833209.4865,2.69104664829197e+23,-0.0
676.6767,0.9797101272,569298733007.7228,2.714447104362507e+23,-0.0
677.6777,0.9796975087,571708215808.283,2.738016990159263e+23,-0.0
678.6787,0.9796849065,574124289888.7483,2.7617572899850617e+23,-0.0
