z,A,a_eff,shear_integral,horizon_approach
677.6777,0.8145542926,0.8145542926,0.0007432597,False
678.6787,0.81444952,0.81444952,0.0007360231,False
679.6797,0.8143448955,0.8143448955,0.0007288567,False
680.6807,0.8142404186,0.8142404186,0.0007217598,False
681.6817,0.814136089,0.814136089,0.0007147317,False
682.6827,0.8140319062,0.8140319062,0.0007077718,False
683.6837,0.8139278699,0.8139278699,0.0007008794,False
684.6847,0.8138239797,0.8138239797,0.0006940539,False
685.6857,0.8137202351,0.8137202351,0.0006872945,False
686.6867,0.8136166359,0.8136166359,0.0006806008,False
687.6877,0.8135131815,0.8135131815,0.0006739719,False
688.6887,0.8134098717,0.8134098717,0.0006674074,False
689.6897,0.813306706,0.813306706,0.0006609066,False
690.6907,0.813203684,0.813203684,0.0006544689,False
691.6917,0.8131008054,0.8131008054,0.0006480936,False
692.6927,0.8129980698,0.8129980698,0.0006417802,False
693.6937,0.8128954768,0.8128954768,0.0006355281,False
694.6947,0.8127930261,0.8127930261,0.0006293366,False
695.6957,0.8126907172,0.8126907172,0.0006232053,False
696.6967,0.8125885497,0.8125885497,0.0006171334,False
697.6977,0.8124865234,0.8124865234,0.0006111205,False
698.6987,0.8123846378,0.8123846378,0.000605166,False
699.6997,0.8122828926,0.8122828926,0.0005992692,False
700.7007,0.8121812874,0.8121812874,0.0005934297,False
701.7017,0.8120798218,0.8120798218,0.0005876469,False
702.7027,0.8119784954,0.8119784954,0.0005819202,False
703.7037,0.811877308,0.811877308,0.0005762492,False
704.7047,0.8117762591,0.8117762591,0.0005706332,False
705.7057,0.8116753484,0.8116753484,0.0005650717,False
706.7067,0.8115745755,0.8115745755,0.0005595643,False
707.7077,0.81147394,0.81147394,0.0005541103,False
708.7087,0.8113734416,0.8113734416,0.0005487093,False
709.7097,0.81127308,0.81127308,0.0005433607,False
710.7107,0.8111728548,0.8111728548,0.0005380641,False
711.7117,0.8110727656,0.8110727656,0.0005328189,False
712.7127,0.810972812,0.810972812,0.0005276247,False
713.7137,0.8108729938,0.8108729938,0.000522481,False
714.7147,0.8107733106,0.8107733106,0.0005173872,False
715.7157,0.8106737621,0.8106737621,0.0005123429,False
716.7167,0.8105743478,0.8105743478,0.0005073476,False
717.7177,0.8104750674,0.8104750674,0.0005024008,False
718.7187,0.8103759207,0.8103759207,0.0004975021,False
719.7197,0.8102769071,0.8102769071,0.000492651,False
720.7207,0.8101780266,0.8101780266,0.0004878471,False
721.7217,0.8100792785,0.8100792785,0.0004830898,False
722.7227,0.8099806627,0.8099806627,0.0004783787,False
723.7237,0.8098821789,0.8098821789,0.0004737135,False
724.7247,0.8097838265,0.8097838265,0.0004690935,False
725.7257,0.8096856054,0.8096856054,0.0004645185,False
726.7267,0.8095875152,0.8095875152,0.0004599879,False
727.7277,0.8094895555,0.8094895555,0.0004555014,False
728.7287,0.8093917261,0.8093917261,0.0004510585,False
729.7297,0.8092940266,0.8092940266,0.0004466588,False
730.7307,0.8091964566,0.8091964566,0.0004423018,False
731.7317,0.8090990159,0.8090990159,0.0004379872,False
732.7327,0.809001704,0.809001704,0.0004337146,False
733.7337,0.8089045208,0.8089045208,0.0004294835,False
734.7347,0.8088074659,0.8088074659,0.0004252935,False
735.7357,0.8087105388,0.8087105388,0.0004211443,False
736.7367,0.8086137394,0.8086137394,0.0004170354,False
737.7377,0.8085170673,0.8085170673,0.0004129665,False
738.7387,0.8084205222,0.8084205222,0.0004089371,False
739.7397,0.8083241037,0.8083241037,0.0004049469,False
740.7407,0.8082278116,0.8082278116,0.0004009956,False
741.7417,0.8081316455,0.8081316455,0.0003970826,False
742.7427,0.8080356051,0.8080356051,0.0003932078,False
743.7437,0.8079396902,0.8079396902,0.0003893706,False
744.7447,0.8078439003,0.8078439003,0.0003855707,False
745.7457,0.8077482352,0.8077482352,0.0003818078,False
746.7467,0.8076526945,0.8076526945,0.0003780815,False
747.7477,0.8075572781,0.8075572781,0.0003743915,False
748.7487,0.8074619854,0.8074619854,0.0003707373,False
749.7497,0.8073668163,0.8073668163,0.0003671187,False
750.7508,0.8072717705,0.8072717705,0.0003635353,False
751.7518,0.8071768476,0.8071768476,0.0003599868,False
752.7528,0.8070820473,0.8070820473,0.0003564728,False
753.7538,0.8069873694,0.8069873694,0.000352993,False
754.7548,0.8068928135,0.8068928135,0.0003495471,False
755.7558,0.8067983793,0.8067983793,0.0003461347,False
756.7568,0.8067040665,0.8067040665,0.0003427555,False
757.7578,0.8066098749,0.8066098749,0.0003394092,False
758.7588,0.8065158041,0.8065158041,0.0003360955,False
759.7598,0.8064218539,0.8064218539,0.000332814,False
760.7608,0.8063280239,0.8063280239,0.0003295644,False
761.7618,0.8062343138,0.8062343138,0.0003263465,False
762.7628,0.8061407234,0.8061407234,0.0003231599,False
763.7638,0.8060472524,0.8060472524,0.0003200043,False
764.7648,0.8059539005,0.8059539005,0.0003168795,False
765.7658,0.8058606673,0.8058606673,0.0003137851,False
766.7668,0.8057675527,0.8057675527,0.0003107208,False
767.7678,0.8056745562,0.8056745562,0.0003076863,False
768.7688,0.8055816777,0.8055816777,0.0003046814,False
