z,null_t,null_r,timelike_t,timelike_r
153.1532,0.846912250595055,0.153088,0.846908066505002,-0.015309
154.1542,0.845911667467498,0.154088,0.845907456029864,-0.015409
155.1552,0.844911084200283,0.155089,0.84490684541506,-0.015509
156.1562,0.843910500793081,0.156089,0.843906234660259,-0.015609
157.1572,0.842909917245562,0.15709,0.842905623765131,-0.015709
158.1582,0.841909333557394,0.158091,0.841905012729346,-0.015809
159.1592,0.840908749728244,0.159091,0.84090440155257,-0.01591
160.1602,0.839908165757779,0.160092,0.83990379023447,-0.01601
161.1612,0.838907581645664,0.161092,0.83890317877471,-0.01611
162.1622,0.837906997391563,0.162093,0.837902567172955,-0.01621
163.1632,0.836906412995139,0.163094,0.836901955428867,-0.01631
164.1642,0.835905828456052,0.164094,0.835901343542108,-0.01641
165.1652,0.834905243773964,0.165095,0.834900731512337,-0.01651
166.1662,0.833904658948532,0.166095,0.833900119339215,-0.01661
167.1672,0.832904073979416,0.167096,0.832899507022398,-0.01671
168.1682,0.831903488866272,0.168097,0.831898894561543,-0.01681
169.1692,0.830902903608754,0.169097,0.830898281956306,-0.01691
170.1702,0.829902318206518,0.170098,0.829897669206341,-0.01701
171.1712,0.828901732659216,0.171098,0.8288970563113,-0.01711
172.1722,0.827901146966499,0.172099,0.827896443270835,-0.01721
173.1732,0.826900561128018,0.173099,0.826895830084597,-0.01731
174.1742,0.825899975143423,0.1741,0.825895216752234,-0.01741
175.1752,0.824899389012361,0.175101,0.824894603273394,-0.017511
176.1762,0.823898802734478,0.176101,0.823893989647724,-0.017611
177.1772,0.82289821630942,0.177102,0.82289337587487,-0.017711
178.1782,0.821897629736831,0.178102,0.821892761954474,-0.017811
179.1792,0.820897043016353,0.179103,0.82089214788618,-0.017911
180.1802,0.819896456147629,0.180104,0.81989153366963,-0.018011
181.1812,0.818895869130297,0.181104,0.818890919304462,-0.018111
182.1822,0.817895281963998,0.182105,0.817890304790317,-0.018211
183.1832,0.816894694648367,0.183105,0.81688969012683,-0.018311
184.1842,0.815894107183043,0.184106,0.81588907531364,-0.018411
185.1852,0.814893519567658,0.185106,0.814888460350379,-0.018511
186.1862,0.813892931801848,0.186107,0.813887845236683,-0.018611
187.1872,0.812892343885243,0.187108,0.812887229972182,-0.018711
188.1882,0.811891755817475,0.188108,0.811886614556507,-0.018811
189.1892,0.810891167598173,0.189109,0.810885998989289,-0.018911
190.1902,0.809890579226965,0.190109,0.809885383270155,-0.019011
191.1912,0.808889990703479,0.19111,0.808884767398731,-0.019112
192.1922,0.807889402027338,0.192111,0.807884151374643,-0.019212
193.1932,0.806888813198168,0.193111,0.806883535197515,-0.019312
194.1942,0.80588822421559,0.194112,0.805882918866969,-0.019412
195.1952,0.804887635079226,0.195112,0.804882302382626,-0.019512
196.1962,0.803887045788695,0.196113,0.803881685744107,-0.019612
197.1972,0.802886456343617,0.197114,0.802881068951029,-0.019712
198.1982,0.801885866743607,0.198114,0.801880452003009,-0.019812
199.1992,0.800885276988281,0.199115,0.800879834899663,-0.019912
200.2002,0.799884687077253,0.200115,0.799879217640604,-0.020012
201.2012,0.798884097010137,0.201116,0.798878600225445,-0.020112
202.2022,0.797883506786542,0.202116,0.797877982653798,-0.020212
203.2032,0.796882916406079,0.203117,0.796877364925272,-0.020312
204.2042,0.795882325868356,0.204118,0.795876747039475,-0.020412
205.2052,0.79488173517298,0.205118,0.794876128996014,-0.020512
206.2062,0.793881144319556,0.206119,0.793875510794494,-0.020612
207.2072,0.792880553307687,0.207119,0.792874892434519,-0.020713
208.2082,0.791879962136977,0.20812,0.791874273915691,-0.020813
209.2092,0.790879370807025,0.209121,0.790873655237611,-0.020913
210.2102,0.789878779317432,0.210121,0.789873036399878,-0.021013
211.2112,0.788878187667795,0.211122,0.78887241740209,-0.021113
212.2122,0.78787759585771,0.212122,0.787871798243844,-0.021213
213.2132,0.786877003886772,0.213123,0.786871178924733,-0.021313
214.2142,0.785876411754574,0.214124,0.785870559444351,-0.021413
215.2152,0.784875819460708,0.215124,0.78486993980229,-0.021513
216.2162,0.783875227004764,0.216125,0.78386931999814,-0.021613
217.2172,0.782874634386331,0.217125,0.782868700031488,-0.021713
218.2182,0.781874041604995,0.218126,0.781868079901923,-0.021813
219.2192,0.780873448660342,0.219127,0.78086745960903,-0.021913
220.2202,0.779872855551956,0.220127,0.779866839152392,-0.022013
221.2212,0.778872262279418,0.221128,0.778866218531591,-0.022113
222.2222,0.777871668842311,0.222128,0.777865597746208,-0.022213
223.2232,0.776871075240211,0.223129,0.776864976795822,-0.022314
224.2242,0.775870481472698,0.22413,0.77586435568001,-0.022414
225.2252,0.774869887539347,0.22513,0.774863734398349,-0.022514
226.2262,0.773869293439731,0.226131,0.773863112950412,-0.022614
227.2272,0.772868699173424,0.227131,0.772862491335771,-0.022714
228.2282,0.771868104739995,0.228132,0.771861869553997,-0.022814
229.2292,0.770867510139016,0.229132,0.770861247604661,-0.022914
230.2302,0.769866915370052,0.230133,0.769860625487328,-0.023014
231.2312,0.768866320432669,0.231134,0.768860003201564,-0.023114
232.2322,0.767865725326433,0.232134,0.767859380746935,-0.023214
233.2332,0.766865130050905,0.233135,0.766858758123002,-0.023314
234.2342,0.765864534605646,0.234135,0.765858135329326,-0.023414
235.2352,0.764863938990215,0.235136,0.764857512365466,-0.023514
236.2362,0.763863343204169,0.236137,0.763856889230979,-0.023614
237.2372,0.762862747247064,0.237137,0.762856265925421,-0.023714
238.2382,0.761862151118455,0.238138,0.761855642448345,-0.023814
239.2392,0.760861554817892,0.239138,0.760855018799304,-0.023914
240.2402,0.759860958344926,0.240139,0.759854394977848,-0.024015
241.2412,0.758860361699106,0.24114,0.758853770983525,-0.024115
242.2422,0.757859764879979,0.24214,0.757853146815883,-0.024215
243.2432,0.75685916788709,0.243141,0.756852522474466,-0.024315
244.2442,0.755858570719981,0.244141,0.755851897958817,-0.024415
245.2452,0.754857973378195,0.245142,0.754851273268478,-0.024515
246.2462,0.753857375861271,0.246143,0.753850648402988,-0.024615
247.2472,0.752856778168747,0.247143,0.752850023361885,-0.024715
248.2482,0.751856180300158,0.248144,0.751849398144705,-0.024815
249.2492,0.750855582255039,0.249144,0.750848772750982,-0.024915
250.2503,0.749854984032922,0.250145,0.749848147180248,-0.025015
251.2513,0.748854385633337,0.251146,0.748847521432034,-0.025115
252.2523,0.747853787055814,0.252146,0.747846895505867,-0.025215
253.2533,0.746853188299878,0.253147,0.746846269401276,-0.025315
254.2543,0.745852589365054,0.254147,0.745845643117783,-0.025415
255.2553,0.744851990250866,0.255148,0.744845016654913,-0.025515
256.2563,0.743851390956833,0.256149,0.743844390012185,-0.025616
257.2573,0.742850791482476,0.257149,0.74284376318912,-0.025716
258.2583,0.741850191827311,0.25815,0.741843136185233,-0.025816
259.2593,0.740849591990854,0.25915,0.740842509000041,-0.025916
260.2603,0.739848991972617,0.260151,0.739841881633056,-0.026016
261.2613,0.738848391772112,0.261152,0.738841254083789,-0.026116
262.2623,0.737847791388848,0.262152,0.737840626351749,-0.026216
263.2633,0.736847190822332,0.263153,0.736839998436445,-0.026316
264.2643,0.73584659007207,0.264153,0.73583937033738,-0.026416
265.2653,0.734845989137565,0.265154,0.734838742054059,-0.026516
266.2663,0.733845388018318,0.266155,0.733838113585982,-0.026616
267.2673,0.732844786713828,0.267155,0.732837484932648,-0.026716
268.2683,0.731844185223592,0.268156,0.731836856093555,-0.026816
269.2693,0.730843583547107,0.269156,0.730836227068198,-0.026916
270.2703,0.729842981683864,0.270157,0.72983559785607,-0.027016
271.2713,0.728842379633354,0.271158,0.728834968456661,-0.027117
272.2723,0.727841777395068,0.272158,0.727834338869461,-0.027217
273.2733,0.72684117496849,0.273159,0.726833709093957,-0.027317
274.2743,0.725840572353107,0.274159,0.725833079129632,-0.027417
275.2753,0.724839969548401,0.27516,0.72483244897597,-0.027517
276.2763,0.723839366553852,0.276161,0.723831818632451,-0.027617
277.2773,0.722838763368938,0.277161,0.722831188098553,-0.027717
278.2783,0.721838159993136,0.278162,0.721830557373752,-0.027817
279.2793,0.72083755642592,0.279162,0.720829926457522,-0.027917
280.2803,0.719836952666761,0.280163,0.719829295349335,-0.028017
281.2813,0.71883634871513,0.281164,0.718828664048661,-0.028117
282.2823,0.717835744570493,0.282164,0.717828032554967,-0.028217
283.2833,0.716835140232316,0.283165,0.716827400867718,-0.028317
284.2843,0.715834535700061,0.284165,0.715826768986377,-0.028417
285.2853,0.71483393097319,0.285166,0.714826136910405,-0.028517
286.2863,0.713833326051162,0.286167,0.71382550463926,-0.028617
287.2873,0.712832720933431,0.287167,0.712824872172398,-0.028718
288.2883,0.711832115619453,0.288168,0.711824239509273,-0.028818
289.2893,0.710831510108679,0.289168,0.710823606649338,-0.028918
290.2903,0.709830904400558,0.290169,0.70982297359204,-0.029018
291.2913,0.708830298494537,0.29117,0.708822340336828,-0.029118
292.2923,0.707829692390062,0.29217,0.707821706883145,-0.029218
293.2933,0.706829086086574,0.293171,0.706821073230435,-0.029318
294.2943,0.705828479583514,0.294172,0.705820439378137,-0.029418
295.2953,0.704827872880319,0.295172,0.704819805325689,-0.029518
