z,A,rho_phi,p_phi,w_phi
637.6376,0.9802155082,213271.4802885083,-213238.0855325905,-0.999843
638.6386,0.9802022155,210862.9870761124,-210830.0211209091,-0.999844
639.6396,0.9801889409,208478.8765948303,-208446.3342943395,-0.999844
640.6406,0.9801756844,206118.9460560024,-206086.8223199108,-0.999844
641.6416,0.9801624461,203782.9936486724,-203751.2834418566,-0.999844
642.6426,0.9801492257,201470.8185476253,-201439.5168896555,-0.999845
643.6436,0.9801360234,199182.2209211151,-199151.322885761,-0.999845
644.6446,0.9801228389,196917.0019382924,-196886.502653032,-0.999845
645.6456,0.9801096724,194674.9637763324,-194644.858421864,-0.999845
646.6466,0.9800965237,192455.9096272718,-192426.1934370276,-0.999846
647.6476,0.9800833928,190259.6437045544,-190230.3119642183,-0.999846
648.6486,0.9800702797,188085.971249296,-188057.0192963225,-0.999846
649.6496,0.9800571842,185934.6985362688,-185906.1217594065,-0.999846
650.6507,0.9800441064,183805.6328796132,-183777.4267184291,-0.999847
651.6517,0.9800310462,181698.5826382778,-181670.7425826864,-0.999847
652.6527,0.9800180036,179613.3572211963,-179585.8788109899,-0.999847
653.6537,0.9800049784,177549.767092204,-177522.6459165868,-0.999847
654.6547,0.9799919707,175507.6237746978,-175480.8554718224,-0.999847
655.6557,0.9799789805,173486.7398560436,-173460.3201125507,-0.999848
656.6567,0.9799660076,171486.9289917386,-171460.8535422992,-0.999848
657.6577,0.979953052,169508.0059093306,-169482.2705361912,-0.999848
658.6587,0.9799401137,167549.7864120963,-167524.3869446274,-0.999848
659.6597,0.9799271926,165612.0873824896,-165587.0196967363,-0.999849
660.6607,0.9799142888,163694.7267853549,-163669.9868035912,-0.999849
661.6617,0.979901402,161797.5236709204,-161773.1073612058,-0.999849
662.6627,0.9798885324,159920.298177564,-159896.2015533037,-0.999849
663.6637,0.9798756798,158062.8715343661,-158039.0906538734,-0.99985
664.6647,0.9798628442,156225.0660634456,-156201.5970295076,-0.99985
665.6657,0.9798500255,154406.7051820888,-154383.5441415352,-0.99985
666.6667,0.9798372238,152607.6134046708,-152584.7565479452,-0.99985
667.6677,0.979824439,150827.6163443761,-150805.0599051108,-0.99985
668.6687,0.9798116709,149066.5407147211,-149044.2809693143,-0.999851
669.6697,0.9797989197,147324.2143308831,-147302.2475980796,-0.999851
670.6707,0.9797861852,145600.4661108382,-145578.7887513124,-0.999851
671.6717,0.9797734674,143895.1260763128,-143873.7344922554,-0.999851
672.6727,0.9797607662,142208.0253535525,-142186.9159882595,-0.999852
673.6737,0.9797480817,140538.9961739124,-140518.1655113777,-0.999852
674.6747,0.9797354137,138887.8718742701,-138867.3164387802,-0.999852
675.6757,0.9797227622,137254.486897268,-137234.2032530007,-0.999852
676.6767,0.9797101272,135638.6767913862,-135618.6615420114,-0.999852
677.6777,0.9796975087,134040.2782108519,-134020.5279991358,-0.999853
678.6787,0.9796849065,132459.1289153846,-132439.6404227968,-0.999853
679.6797,0.9796723207,130895.0677697851,-130875.8377161082,-0.999853
680.6807,0.9796597512,129347.9347433689,-129328.959886312,-0.999853
681.6817,0.979647198,127817.5709092472,-127798.8480440614,-0.999854
682.6827,0.979634661,126303.8184434609,-126285.3444025582,-0.999854
683.6837,0.9796221402,124806.5206239686,-124788.2922765436,-0.999854
684.6847,0.9796096355,123325.5218294914,-123307.5360811461,-0.999854
685.6857,0.979597147,121860.6675382225,-121842.9213305938,-0.999854
686.6867,0.9795846745,120411.8043263969,-120394.2946367871,-0.999855
687.6877,0.979572218,118978.7798667303,-118961.5037077407,-0.999855
688.6887,0.9795597774,117561.4429267291,-117544.397345896,-0.999855
689.6897,0.9795473529,116159.6433668712,-116142.8254463056,-0.999855
690.6907,0.9795349442,114773.2321386661,-114756.6389946953,-0.999855
691.6917,0.9795225514,113402.0612825911,-113385.6900654042,-0.999856
692.6927,0.9795101744,112045.9839259111,-112029.8318192065,-0.999856
693.6937,0.9794978131,110704.8542803835,-110688.9185010199,-0.999856
694.6947,0.9794854676,109378.5276398494,-109362.8054374991,-0.999856
695.6957,0.9794731378,108066.8603777155,-108051.3490345214,-0.999856
696.6967,0.9794608237,106769.7099443295,-106754.4067745639,-0.999857
697.6977,0.9794485252,105486.9348642504,-105471.8372139774,-0.999857
698.6987,0.9794362422,104218.3947334173,-104203.4999801575,-0.999857
699.6997,0.9794239748,102963.9502162196,-102949.2557686181,-0.999857
700.7007,0.9794117229,101723.4630424685,-101708.9663399655,-0.999857
701.7017,0.9793994864,100496.7960042782,-100482.4945167821,-0.999858
702.7027,0.9793872654,99283.8129528513,-99269.7041804149,-0.999858
703.7037,0.9793750597,98084.3787951777,-98070.4602676775,-0.999858
704.7047,0.9793628694,96898.3594906456,-96884.6287674629,-0.999858
705.7057,0.9793506944,95725.6220475687,-95712.0767172742,-0.999858
706.7067,0.9793385347,94566.03451963,-94552.6721996712,-0.999859
707.7077,0.9793263902,93419.4660022479,-93406.2843386388,-0.999859
708.7087,0.9793142609,92285.7866288626,-92272.7832958759,-0.999859
709.7097,0.9793021467,91164.8675671487,-91152.0402670117,-0.999859
710.7107,0.9792900477,90056.581015154,-90043.9274777462,-0.999859
711.7117,0.9792779637,88960.8001973672,-88948.318179921,-0.99986
712.7127,0.9792658948,87877.3993607174,-87865.0866475213,-0.99986
713.7137,0.9792538409,86806.253770506,-86794.1081726106,-0.99986
714.7147,0.979241802,85747.2397062747,-85735.2590612015,-0.99986
715.7157,0.9792297779,84700.2344576104,-84688.4166290627,-0.99986
716.7167,0.9792177688,83665.1163198892,-83653.4591974659,-0.999861
